City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Novi Troyany,UA,45.9427,28.8563,52.41,61,85,7.47,overcast clouds
293,Kudahuvadhoo,MV,2.6708,72.8944,81.61,76,100,17.94,moderate rain
294,Luderitz,NA,-26.6481,15.1594,55.96,75,0,16.69,clear sky
295,Robertsport,LR,6.7533,-11.3686,78.21,88,61,5.5,light rain
296,Atocha,BO,-20.9333,-66.2333,53.83,6,0,19.64,clear sky
297,Bambanglipuro,ID,-7.95,110.2833,75.81,87,86,2.46,overcast clouds
298,Hirara,JP,24.8,125.2833,78.66,94,20,5.75,few clouds
299,Flin Flon,CA,54.7682,-101.865,57.04,58,20,3.44,smoke
300,Jurm,AF,36.8648,70.8342,51.8,45,0,0.49,clear sky
301,Cartagena,CO,10.3997,-75.5144,85.62,74,75,2.3,broken clouds
302,Pathein,MM,16.7833,94.7333,74.86,93,100,4.03,overcast clouds
303,Isangel,VU,-19.55,169.2667,77.11,78,40,6.91,scattered clouds
304,Port Hedland,AU,-20.3167,118.5667,66.25,100,3,2.3,clear sky
305,Santa Adelia,BR,-21.2428,-48.8042,74.37,61,2,5.66,clear sky
306,Oranjemund,NA,-28.55,16.4333,55.76,87,3,12.57,clear sky
307,Ponta Do Sol,PT,32.6667,-17.1,72.72,76,51,1.9,broken clouds
308,Tabas,IR,33.5959,56.9244,79.05,18,0,4.72,clear sky
309,Kisangani,CD,0.5167,25.2,70.63,99,100,2.8,moderate rain
310,Sitka,US,57.0531,-135.33,66.09,32,75,13.8,broken clouds
311,Ambilobe,MG,-13.2,49.05,66.88,83,21,4.05,few clouds
312,Georgetown,MY,5.4112,100.3354,78.73,94,20,0.0,few clouds
313,Pemangkat,ID,1.1667,108.9667,75.99,90,99,5.39,overcast clouds
314,Saint-Georges,GD,12.0564,-61.7485,80.28,94,20,0.0,few clouds
315,Kassala,SD,15.451,36.4,84.45,46,89,1.72,overcast clouds
316,Catacamas,HN,14.8,-85.9,97.21,51,40,4.61,scattered clouds
317,Cap-Aux-Meules,CA,47.3821,-61.8597,53.65,66,20,9.22,few clouds
318,Shahpur,IN,16.7,76.8333,75.49,79,100,6.71,overcast clouds
319,Ghanzi,BW,-21.5667,21.7833,76.89,14,0,6.87,clear sky
320,Leshukonskoye,RU,64.8989,45.7622,43.39,97,100,4.7,overcast clouds
321,Hamilton,US,39.1834,-84.5333,72.43,33,0,9.22,clear sky
322,Nieuw Amsterdam,SR,5.8833,-55.0833,77.16,88,75,9.22,thunderstorm with light rain
323,Udachnyy,RU,66.4167,112.4,28.45,92,100,9.93,light snow
324,Gazojak,TM,41.1875,61.4036,53.58,17,4,12.48,clear sky
325,Khatanga,RU,71.9667,102.5,24.26,97,100,5.06,light snow
326,Lloro,CO,5.4961,-76.5495,80.55,92,100,2.86,light rain
327,Kavaratti,IN,10.5669,72.642,80.91,78,99,16.84,overcast clouds
328,Les Escoumins,CA,48.1111,-69.0236,47.55,69,47,5.84,scattered clouds
329,Merauke,ID,-8.4667,140.3333,79.81,86,98,11.63,light rain
